source,feature,numeric_feature,recommended_incremental,anchor_missing_fraction_all,classification,rationale,exact_base_overlap,formula_or_derived_relationship
ai,pool_breadth_above_ma20,True,True,0.0,safe_candidate,strictly prior-session AI industry state with usable anchor coverage,False,False
ai,pool_breadth_above_ma60,True,True,0.0,safe_candidate,strictly prior-session AI industry state with usable anchor coverage,False,False
ai,pool_cross_sectional_dispersion_1,True,True,0.0,safe_candidate,strictly prior-session AI industry state with usable anchor coverage,False,False
ai,pool_equal_weight_return_1,True,True,0.0,safe_candidate,strictly prior-session AI industry state with usable anchor coverage,False,False
ai,pool_equal_weight_relative_spy_return_1,True,True,0.0,safe_candidate,strictly prior-session AI industry state with usable anchor coverage,False,True
base_audit_only,feature_missing_count,False,False,,exclude_audit_or_metadata,missingness audit metadata; do not pass as a model feature,False,False
base_audit_only,feature_missing_list,False,False,,exclude_audit_or_metadata,missingness audit metadata; do not pass as a model feature,False,False
macro_audit_only,spy_session_index,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,VIXCLS_source_observation_date,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,VIXCLS_source_value_raw,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,VIXCLS_source_value_numeric,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,VIXCLS_source_missing,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,VIXCLS_source_row,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,VIXCLS_value_observation_date,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,VIXCLS_value_source_row,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
