ric,canonical_name,primary_group,evidence_group,matched_terms,segment_name,period_end,orig_announcement_dates,pit_date_available,raw_file,raw_row,raw_text,reason_code
HPE.N,Hewlett Packard Enterprise Company,server_network,ai_semiconductor,AI,HPC & AI,2020-10-31,2020-12-01,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_014.csv,151,"HPE.N,513210, 423430, 334111,HPC & AI,FY2020,2020-10-31,2965000000",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
HPE.N,Hewlett Packard Enterprise Company,server_network,cloud_software,AI,HPC & AI,2020-10-31,2020-12-01,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_014.csv,151,"HPE.N,513210, 423430, 334111,HPC & AI,FY2020,2020-10-31,2965000000",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
HPE.N,Hewlett Packard Enterprise Company,server_network,gpu_accelerator,AI,HPC & AI,2021-10-31,2021-11-30,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_014.csv,159,"HPE.N,513210, 423430, 334111,HPC & AI,FY2021,2021-10-31,3041000000",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
HPE.N,Hewlett Packard Enterprise Company,server_network,ai_semiconductor,AI,HPC & AI,2021-10-31,2021-11-30,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_014.csv,159,"HPE.N,513210, 423430, 334111,HPC & AI,FY2021,2021-10-31,3041000000",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
HPE.N,Hewlett Packard Enterprise Company,server_network,cloud_software,AI,HPC & AI,2021-10-31,2021-11-30,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_014.csv,159,"HPE.N,513210, 423430, 334111,HPC & AI,FY2021,2021-10-31,3041000000",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
HPE.N,Hewlett Packard Enterprise Company,server_network,gpu_accelerator,AI,HPC & AI,2022-10-31,2022-11-29,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_014.csv,166,"HPE.N,513210, 423430, 334111,HPC & AI,FY2022,2022-10-31,3078000000",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
HPE.N,Hewlett Packard Enterprise Company,server_network,ai_semiconductor,AI,HPC & AI,2022-10-31,2022-11-29,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_014.csv,166,"HPE.N,513210, 423430, 334111,HPC & AI,FY2022,2022-10-31,3078000000",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
HPE.N,Hewlett Packard Enterprise Company,server_network,cloud_software,AI,HPC & AI,2022-10-31,2022-11-29,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_014.csv,166,"HPE.N,513210, 423430, 334111,HPC & AI,FY2022,2022-10-31,3078000000",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
HPE.N,Hewlett Packard Enterprise Company,server_network,gpu_accelerator,AI,HPC & AI,2023-10-31,2023-11-28,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_014.csv,173,"HPE.N,513210, 423430, 334111,HPC & AI,FY2023,2023-10-31,3775000000",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
HPE.N,Hewlett Packard Enterprise Company,server_network,ai_semiconductor,AI,HPC & AI,2023-10-31,2023-11-28,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_014.csv,173,"HPE.N,513210, 423430, 334111,HPC & AI,FY2023,2023-10-31,3775000000",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
HPE.N,Hewlett Packard Enterprise Company,server_network,cloud_software,AI,HPC & AI,2023-10-31,2023-11-28,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_014.csv,173,"HPE.N,513210, 423430, 334111,HPC & AI,FY2023,2023-10-31,3775000000",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
INTC.OQ,Intel Corporation,gpu_accelerator,memory_hbm_storage,data center,Data Center Group,2012-12-29,2013-01-17,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_014.csv,1142,"INTC.OQ,334413,Data Center Group,FY2012,2012-12-29,10741000000",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
