Date,Instrument,holding_value,weight
2021-01-08,CSCO.OQ,0.054953486584010905,0.05475585235012072
2021-01-08,ORCL.N,0.05350525429313716,0.05331282846906942
2021-01-08,AMD.OQ,0.05493629379164813,0.054738721389764586
2021-01-08,NTAP.OQ,0.05409800791574462,0.053903450317782785
2021-01-08,TSLA.OQ,0.06464996358586343,0.06441745702770743
2021-01-11,SPY.P,-0.5864352917167577,-0.5828725868260666
2021-01-11,NVDA.OQ,0.05568882599912336,0.055350505888539445
2021-01-11,TER.OQ,0.061038208188221726,0.0606673895729324
2021-01-11,GOOG.OQ,0.054805661133436996,0.054472706415814094
2021-01-11,CSCO.OQ,0.05531935533624303,0.05498327982955012
2021-01-11,ORCL.N,0.05320978507565288,0.05288652560576884
2021-01-11,AMD.OQ,0.05648714919895081,0.05614397912451146
2021-01-11,NTAP.OQ,0.054306173253281624,0.05397625301864194
2021-01-11,TSLA.OQ,0.05959342283268245,0.059231381560648014
2021-01-12,SPY.P,-0.5865591788626979,-0.5819441601625789
2021-01-12,NVDA.OQ,0.05512975049678299,0.05469599233794066
2021-01-12,TER.OQ,0.06166343375477761,0.06117826889819207
2021-01-12,GOOG.OQ,0.054179964823285284,0.05375367953129468
2021-01-12,CSCO.OQ,0.055843767214427686,0.05540439120725415
2021-01-12,ORCL.N,0.05269482443950368,0.05228022415883067
2021-01-12,AMD.OQ,0.05538644845103664,0.054950670605346245
2021-01-12,NTAP.OQ,0.05508887492236887,0.05465543837053074
2021-01-12,TSLA.OQ,0.06240342840887783,0.06191244131083785
2021-01-13,SPY.P,-0.5881387399747304,-0.5863994312894762
2021-01-13,NVDA.OQ,0.05532190076086263,0.05515829674035164
2021-01-13,TER.OQ,0.06118214500928087,0.06100121042877408
2021-01-13,GOOG.OQ,0.05442348073971032,0.05426253362587727
2021-01-13,CSCO.OQ,0.05531935533622119,0.05515575884332041
2021-01-13,ORCL.N,0.052390913244417116,0.0522359770631373
2021-01-13,AMD.OQ,0.05330992857047425,0.05315227457581155
2021-01-13,NTAP.OQ,0.05428952002625795,0.054128969075807026
2021-01-13,TSLA.OQ,0.06276854547328496,0.06258291941453029
2021-01-14,SPY.P,-0.5860791161716783,-0.5843742193930489
2021-01-14,NVDA.OQ,0.0539666281536774,0.05380963991104269
2021-01-14,TER.OQ,0.06224817709039959,0.06206709792605365
2021-01-14,GOOG.OQ,0.053982360187904435,0.05382532618098
2021-01-14,CSCO.OQ,0.055063247209644124,0.05490306891596628
2021-01-14,ORCL.N,0.0520025822728771,0.051851307415010525
2021-01-14,AMD.OQ,0.05273489229586162,0.05258148715734744
2021-01-14,NTAP.OQ,0.05482242329030605,0.05466294555038105
2021-01-14,TSLA.OQ,0.06207724736946261,0.061896665437525325
2021-01-15,SPY.P,-0.5818050096329865,-0.5807522914831026
2021-01-15,NVDA.OQ,0.052573538739189386,0.05247841216324381
2021-01-15,TER.OQ,0.061757892293577234,0.06164614754569849
2021-01-15,GOOG.OQ,0.05385858585586433,0.053761134115300396
2021-01-15,CSCO.OQ,0.05540472471174163,0.05530447538709218
2021-01-15,ORCL.N,0.05215453787042366,0.052060169434769175
2021-01-15,AMD.OQ,0.05123631291350378,0.051143605914347474
2021-01-15,NTAP.OQ,0.053839882897191105,0.053742464997765915
2021-01-15,TSLA.OQ,0.06069318187782712,0.060583363617277425
2021-01-19,SPY.P,-0.5863733481434804,-0.5851070379475638
2021-01-19,NVDA.OQ,0.05325117504279722,0.0531361757746437
2021-01-19,TER.OQ,0.06325573483794199,0.06311913009246867
2021-01-19,GOOG.OQ,0.05555451135292122,0.05543453788486013
2021-01-19,CSCO.OQ,0.05511202970998927,0.05499301180891929
