sample_id,security_id,Instrument,formation_session,split,reference_session,p_up
c17126e65be2bda34778660c,TT.N,TT.N,2021-01-05,validation,2021-01-04,0.6066487587925036
5e30c4f0a9327083c6c4f3e9,TXN.OQ,TXN.OQ,2021-01-05,validation,2021-01-04,0.6207791593656645
7b0e17422e32973bbcff761c,WDC.OQ,WDC.OQ,2021-01-05,validation,2021-01-04,0.670314304235997
f5c348015d5017e3ed2f393b,ZBRA.OQ,ZBRA.OQ,2021-01-05,validation,2021-01-04,0.6119589939807109
bc32ee08ff79f472a9086dce,ADI.OQ,ADI.OQ,2021-01-06,validation,2021-01-05,0.6028725978295273
4597529c10af18a99f0f4b4a,AMD.OQ,AMD.OQ,2021-01-06,validation,2021-01-05,0.6800475166136453
017deb96ce553cb57614604b,AMT.N,AMT.N,2021-01-06,validation,2021-01-05,0.6044908270953425
e8e0aa417e43eeca7df0f142,AMZN.OQ,AMZN.OQ,2021-01-06,validation,2021-01-05,0.6543825247784721
0c5717aba42c5f8c3fc6631f,ANET.N,ANET.N,2021-01-06,validation,2021-01-05,0.6562733866302144
8f25a2b337125ca05df27437,APTV.N,APTV.N,2021-01-06,validation,2021-01-05,0.5818497080808362
25020cc99a796023fc7cf396,AVGO.OQ,AVGO.OQ,2021-01-06,validation,2021-01-05,0.6718338800011964
5a147a28c83b5c3dea9e481b,CARR.N,CARR.N,2021-01-06,validation,2021-01-05,0.6077237085429477
551ea329fdb4c4b1c62be5fc,CDNS.OQ,CDNS.OQ,2021-01-06,validation,2021-01-05,0.607056216338607
0be09be637a32eee6189fd37,CSCO.OQ,CSCO.OQ,2021-01-06,validation,2021-01-05,0.6878634211763108
c0c8a3ec56b67fff86443290,DELL.N,DELL.N,2021-01-06,validation,2021-01-05,0.6389901627988618
d3b229500b5e75590d5b1e01,DLR.N,DLR.N,2021-01-06,validation,2021-01-05,0.6486835688440927
11062279260232ba7b9ee25a,EQIX.OQ,EQIX.OQ,2021-01-06,validation,2021-01-05,0.5474968318286942
d1483835b5306c362dce03fc,ETN.N,ETN.N,2021-01-06,validation,2021-01-05,0.5895900316336021
2ba1a62ea9136de86536452b,GOOG.OQ,GOOG.OQ,2021-01-06,validation,2021-01-05,0.6857650987995658
7e281eaecc73f2f484066bc9,HON.OQ,HON.OQ,2021-01-06,validation,2021-01-05,0.6470687586711062
f81d8f7a8a46198db7137a9d,HPE.N,HPE.N,2021-01-06,validation,2021-01-05,0.6257177064141866
f112b25932dcb7cfe7c244a7,IBM.N,IBM.N,2021-01-06,validation,2021-01-05,0.5732421039867791
