feature_set,model,transformed_feature,base_feature,missing_indicator,importance
technical_plus_macro,random_forest,dgs2_change_20d,dgs2_change_20d,False,0.012848709294396861
technical_plus_macro,random_forest,dgs10_level,dgs10_level,False,0.02459172289635176
technical_plus_macro,random_forest,dgs10_change_5d,dgs10_change_5d,False,0.016769802692929024
technical_plus_macro,random_forest,dgs10_change_20d,dgs10_change_20d,False,0.02940311111065576
technical_plus_macro,random_forest,broad_dollar_level,broad_dollar_level,False,0.02445746134651013
technical_plus_macro,random_forest,broad_dollar_change_5d,broad_dollar_change_5d,False,0.05233643049656289
technical_plus_macro,random_forest,broad_dollar_change_20d,broad_dollar_change_20d,False,0.012925372575178135
technical_plus_macro,random_forest,broad_dollar_change_60d,broad_dollar_change_60d,False,0.019592297552197196
technical_plus_macro,random_forest,term_spread_10y_2y,term_spread_10y_2y,False,0.009626179921196354
technical_plus_macro,random_forest,term_spread_10y_3m,term_spread_10y_3m,False,0.021048301377405338
technical_plus_macro,random_forest,missingindicator_spread_median_60_bps,spread_median_60_bps,True,0.0
technical_plus_ai_state,logistic,momentum_1,momentum_1,False,0.14443644874397296
technical_plus_ai_state,logistic,momentum_5,momentum_5,False,0.1272260016459878
technical_plus_ai_state,logistic,momentum_20,momentum_20,False,0.05762008475675503
technical_plus_ai_state,logistic,momentum_60,momentum_60,False,0.1118452778730518
technical_plus_ai_state,logistic,volatility_20_ann,volatility_20_ann,False,0.06557961717499594
technical_plus_ai_state,logistic,volatility_60_ann,volatility_60_ann,False,0.22762917765667456
technical_plus_ai_state,logistic,volume_median_20_log1p,volume_median_20_log1p,False,0.23485270994681634
technical_plus_ai_state,logistic,volume_median_60_log1p,volume_median_60_log1p,False,0.11262490218548755
technical_plus_ai_state,logistic,dollar_volume_median_20_log1p,dollar_volume_median_20_log1p,False,0.04172188773967995
technical_plus_ai_state,logistic,dollar_volume_median_60_log1p,dollar_volume_median_60_log1p,False,0.0699317894683014
technical_plus_ai_state,logistic,spread_median_20_bps,spread_median_20_bps,False,0.05303411284874124
technical_plus_ai_state,logistic,spread_median_60_bps,spread_median_60_bps,False,0.0365170116419064
technical_plus_ai_state,logistic,beta_126,beta_126,False,0.0738095635324703
technical_plus_ai_state,logistic,idio_vol_126_ann,idio_vol_126_ann,False,0.10169794684581628
technical_plus_ai_state,logistic,beta_obs_126,beta_obs_126,False,0.01882959498147646
technical_plus_ai_state,logistic,spy_momentum_1,spy_momentum_1,False,0.27781658437551776
technical_plus_ai_state,logistic,spy_momentum_5,spy_momentum_5,False,0.034460869955696784
technical_plus_ai_state,logistic,spy_momentum_20,spy_momentum_20,False,0.12313235823068962
technical_plus_ai_state,logistic,spy_momentum_60,spy_momentum_60,False,0.03737214061609398
technical_plus_ai_state,logistic,spy_volatility_20_ann,spy_volatility_20_ann,False,0.032873178961573414
technical_plus_ai_state,logistic,spy_volatility_60_ann,spy_volatility_60_ann,False,0.004557048692075949
technical_plus_ai_state,logistic,etf_soxx_momentum_5,etf_soxx_momentum_5,False,0.04761601876617437
technical_plus_ai_state,logistic,etf_soxx_momentum_20,etf_soxx_momentum_20,False,0.07618344768889738
technical_plus_ai_state,logistic,etf_soxx_momentum_60,etf_soxx_momentum_60,False,0.012228301616440071
technical_plus_ai_state,logistic,etf_soxx_volatility_20_ann,etf_soxx_volatility_20_ann,False,0.08607923393660573
technical_plus_ai_state,logistic,etf_soxx_volatility_60_ann,etf_soxx_volatility_60_ann,False,0.2531272812324939
technical_plus_ai_state,logistic,etf_soxx_max_drawdown_60,etf_soxx_max_drawdown_60,False,0.09197552906460867
technical_plus_ai_state,logistic,etf_xlk_momentum_5,etf_xlk_momentum_5,False,0.012558169166146022
technical_plus_ai_state,logistic,etf_xlk_momentum_20,etf_xlk_momentum_20,False,0.0021482198972907654
technical_plus_ai_state,logistic,etf_xlk_momentum_60,etf_xlk_momentum_60,False,0.010694608204705264
technical_plus_ai_state,logistic,etf_xlk_volatility_20_ann,etf_xlk_volatility_20_ann,False,0.20101946384334501
technical_plus_ai_state,logistic,etf_xlk_volatility_60_ann,etf_xlk_volatility_60_ann,False,0.5155536763463675
technical_plus_ai_state,logistic,etf_xlk_max_drawdown_60,etf_xlk_max_drawdown_60,False,0.6997413269328713
technical_plus_ai_state,logistic,soxx_relative_spy_return_5,soxx_relative_spy_return_5,False,0.040756420145968635
technical_plus_ai_state,logistic,soxx_relative_spy_return_20,soxx_relative_spy_return_20,False,0.14095988961300138
technical_plus_ai_state,logistic,soxx_relative_spy_return_60,soxx_relative_spy_return_60,False,0.09500633634746332
technical_plus_ai_state,logistic,pool_breadth_up_1,pool_breadth_up_1,False,0.047681137552501605
technical_plus_ai_state,logistic,pool_breadth_above_ma20,pool_breadth_above_ma20,False,0.11776178783844786
technical_plus_ai_state,logistic,pool_breadth_above_ma60,pool_breadth_above_ma60,False,0.04092683991881548
technical_plus_ai_state,logistic,pool_cross_sectional_dispersion_1,pool_cross_sectional_dispersion_1,False,0.0009034766038397031
technical_plus_ai_state,logistic,pool_equal_weight_return_1,pool_equal_weight_return_1,False,0.4103067183823261
technical_plus_ai_state,logistic,pool_equal_weight_relative_spy_return_1,pool_equal_weight_relative_spy_return_1,False,0.20576101857277873
technical_plus_ai_state,logistic,missingindicator_spread_median_60_bps,spread_median_60_bps,True,0.16666700669205586
technical_plus_ai_state,random_forest,momentum_1,momentum_1,False,0.04900222972791866
technical_plus_ai_state,random_forest,momentum_5,momentum_5,False,0.04807726430998736
technical_plus_ai_state,random_forest,momentum_20,momentum_20,False,0.023896964388972323
technical_plus_ai_state,random_forest,momentum_60,momentum_60,False,0.021968654423820788
technical_plus_ai_state,random_forest,volatility_20_ann,volatility_20_ann,False,0.06784727785995655
technical_plus_ai_state,random_forest,volatility_60_ann,volatility_60_ann,False,0.05745903541770716
technical_plus_ai_state,random_forest,volume_median_20_log1p,volume_median_20_log1p,False,0.02935782982296061
technical_plus_ai_state,random_forest,volume_median_60_log1p,volume_median_60_log1p,False,0.033616706071251695
technical_plus_ai_state,random_forest,dollar_volume_median_20_log1p,dollar_volume_median_20_log1p,False,0.022675175822538557
technical_plus_ai_state,random_forest,dollar_volume_median_60_log1p,dollar_volume_median_60_log1p,False,0.024612031076195744
technical_plus_ai_state,random_forest,spread_median_20_bps,spread_median_20_bps,False,0.022817422609426475
technical_plus_ai_state,random_forest,spread_median_60_bps,spread_median_60_bps,False,0.02099106559486466
technical_plus_ai_state,random_forest,beta_126,beta_126,False,0.036151161373490684
technical_plus_ai_state,random_forest,idio_vol_126_ann,idio_vol_126_ann,False,0.03304002738065499
technical_plus_ai_state,random_forest,beta_obs_126,beta_obs_126,False,0.0
technical_plus_ai_state,random_forest,spy_momentum_1,spy_momentum_1,False,0.013403101481572222
technical_plus_ai_state,random_forest,spy_momentum_5,spy_momentum_5,False,0.013671922803957761
technical_plus_ai_state,random_forest,spy_momentum_20,spy_momentum_20,False,0.013814856087390828
technical_plus_ai_state,random_forest,spy_momentum_60,spy_momentum_60,False,0.016956968744992
technical_plus_ai_state,random_forest,spy_volatility_20_ann,spy_volatility_20_ann,False,0.012148925771230872
technical_plus_ai_state,random_forest,spy_volatility_60_ann,spy_volatility_60_ann,False,0.012567747628570642
technical_plus_ai_state,random_forest,etf_soxx_momentum_5,etf_soxx_momentum_5,False,0.016088436650071345
technical_plus_ai_state,random_forest,etf_soxx_momentum_20,etf_soxx_momentum_20,False,0.020977262189780098
technical_plus_ai_state,random_forest,etf_soxx_momentum_60,etf_soxx_momentum_60,False,0.019718200255642783
technical_plus_ai_state,random_forest,etf_soxx_volatility_20_ann,etf_soxx_volatility_20_ann,False,0.02382434752417582
technical_plus_ai_state,random_forest,etf_soxx_volatility_60_ann,etf_soxx_volatility_60_ann,False,0.012087085384926494
technical_plus_ai_state,random_forest,etf_soxx_max_drawdown_60,etf_soxx_max_drawdown_60,False,0.016109023860256318
technical_plus_ai_state,random_forest,etf_xlk_momentum_5,etf_xlk_momentum_5,False,0.015077437616712546
technical_plus_ai_state,random_forest,etf_xlk_momentum_20,etf_xlk_momentum_20,False,0.01262038963509098
technical_plus_ai_state,random_forest,etf_xlk_momentum_60,etf_xlk_momentum_60,False,0.03353922847934136
technical_plus_ai_state,random_forest,etf_xlk_volatility_20_ann,etf_xlk_volatility_20_ann,False,0.01883823861563162
technical_plus_ai_state,random_forest,etf_xlk_volatility_60_ann,etf_xlk_volatility_60_ann,False,0.014773321926725773
technical_plus_ai_state,random_forest,etf_xlk_max_drawdown_60,etf_xlk_max_drawdown_60,False,0.025971746479883075
technical_plus_ai_state,random_forest,soxx_relative_spy_return_5,soxx_relative_spy_return_5,False,0.01490231258286017
technical_plus_ai_state,random_forest,soxx_relative_spy_return_20,soxx_relative_spy_return_20,False,0.03601929201584824
technical_plus_ai_state,random_forest,soxx_relative_spy_return_60,soxx_relative_spy_return_60,False,0.020310278691487285
technical_plus_ai_state,random_forest,pool_breadth_up_1,pool_breadth_up_1,False,0.01600923307914335
technical_plus_ai_state,random_forest,pool_breadth_above_ma20,pool_breadth_above_ma20,False,0.02566082198559037
technical_plus_ai_state,random_forest,pool_breadth_above_ma60,pool_breadth_above_ma60,False,0.008888348459646405
technical_plus_ai_state,random_forest,pool_cross_sectional_dispersion_1,pool_cross_sectional_dispersion_1,False,0.02173417091645042
technical_plus_ai_state,random_forest,pool_equal_weight_return_1,pool_equal_weight_return_1,False,0.02774113050062353
technical_plus_ai_state,random_forest,pool_equal_weight_relative_spy_return_1,pool_equal_weight_relative_spy_return_1,False,0.025033324752651357
technical_plus_ai_state,random_forest,missingindicator_spread_median_60_bps,spread_median_60_bps,True,0.0
full_state,logistic,momentum_1,momentum_1,False,0.14635726307499253
full_state,logistic,momentum_5,momentum_5,False,0.13978069195900425
full_state,logistic,momentum_20,momentum_20,False,0.06386855493125623
full_state,logistic,momentum_60,momentum_60,False,0.1286034718591864
full_state,logistic,volatility_20_ann,volatility_20_ann,False,0.040169411828718485
full_state,logistic,volatility_60_ann,volatility_60_ann,False,0.22357236354081553
full_state,logistic,volume_median_20_log1p,volume_median_20_log1p,False,0.2575288210106291
full_state,logistic,volume_median_60_log1p,volume_median_60_log1p,False,0.10463891599442302
full_state,logistic,dollar_volume_median_20_log1p,dollar_volume_median_20_log1p,False,0.024088304097753956
full_state,logistic,dollar_volume_median_60_log1p,dollar_volume_median_60_log1p,False,0.023662774483924464
full_state,logistic,spread_median_20_bps,spread_median_20_bps,False,0.08276081669935356
full_state,logistic,spread_median_60_bps,spread_median_60_bps,False,0.029311346700897512
full_state,logistic,beta_126,beta_126,False,0.06407779777427809
full_state,logistic,idio_vol_126_ann,idio_vol_126_ann,False,0.08385000869761783
full_state,logistic,beta_obs_126,beta_obs_126,False,0.018500343526456492
